#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_86	6190	4	N	N	1	*	*,86,*
contig_36	6170	5	N	N	1	*	*,36,*
contig_74	6081	3	N	N	1	*	*,74,*
contig_12	5906	4	N	N	1	*	*,12,*
contig_63	5861	5	N	N	1	*	*,63,*
contig_21	5729	4	N	N	1	*	*,21,*
contig_89	5669	52	Y	N	16	*	89
contig_16	5655	4	N	N	1	*	*,16,*
contig_46	5605	4	N	N	1	*	*,46,*
contig_49	5177	3	N	N	1	*	*,49,*
contig_117	5128	4	N	N	1	*	*,117,*
contig_61	5128	5	N	N	1	*	*,61,*
contig_31	5048	4	N	N	1	*	*,31,*
contig_2	4947	4	N	N	1	*	*,2,*
contig_99	4764	4	N	N	1	*	*,99,*
contig_14	4710	5	N	N	1	*	*,14,*
contig_126	4623	4	N	N	1	*	*,126,*
contig_102	4376	3	N	N	1	*	*,102,*
contig_60	4315	4	N	N	1	*	*,60,*
contig_25	4248	5	N	N	1	*	*,25,*
contig_115	4118	5	N	N	1	*	*,115,*
contig_71	4057	5	N	N	1	*	*,71,*
contig_80	4057	4	N	N	1	*	*,80,*
contig_66	3898	4	N	N	1	*	*,66,*
contig_84	3895	3	N	N	1	*	*,84,*
contig_78	3572	4	N	N	1	*	*,78,*
contig_18	3376	3	N	N	1	*	*,18,*
contig_44	3058	3	N	N	1	*	*,44,*
contig_39	3045	4	N	N	1	*	*,39,*
contig_48	2571	3	N	N	1	*	*,48,*
contig_57	2562	3	N	N	1	*	*,57,*
contig_76	2555	3	N	N	1	*	*,76,*
contig_95	2447	4	N	N	1	*	*,95,*
contig_96	2398	3	N	N	1	*	*,96,*
contig_87	2369	4	N	N	1	*	*,87,*
contig_59	2348	4	N	N	1	*	*,59,*
contig_132	2320	3	N	N	1	*	*,132,*
contig_94	2229	4	N	N	1	*	*,94,*
